Type,Start,End,Duration,Start Conditions,Start Location,End Conditions,Notes,aStart,aEnd,timeToStart,timeToEnd
sleep,2021-08-25T00:31Z,2021-08-25T01:32Z,,,,,,2021-08-24T15:31Z,2021-08-24T16:32Z,24.516666666666666,25.533333333333335
feed,2021-08-25T01:32Z,2021-08-25T01:42Z,00:09,00:09R,breast,,,2021-08-24T16:32Z,2021-08-24T16:42Z,25.533333333333335,25.7
sleep,2021-08-25T01:42Z,2021-08-25T01:49Z,,,,,,2021-08-24T16:42Z,2021-08-24T16:49Z,25.7,25.816666666666666
feed,2021-08-25T01:49Z,2021-08-25T01:57Z,00:08,,breast,00:08L,,2021-08-24T16:49Z,2021-08-24T16:57Z,25.816666666666666,25.95
sleep,2021-08-25T01:57Z,2021-08-25T02:30Z,,,,,,2021-08-24T16:57Z,2021-08-24T17:30Z,25.95,26.5
feed,2021-08-25T02:30Z,2021-08-25T02:37Z,00:07,00:07R,breast,,,2021-08-24T17:30Z,2021-08-24T17:37Z,26.5,26.616666666666667
sleep,2021-08-25T02:37Z,2021-08-25T03:45Z,,,,,,2021-08-24T17:37Z,2021-08-24T18:45Z,26.616666666666667,27.75
feed,2021-08-25T03:45Z,2021-08-25T04:05Z,00:19,,breast,00:19L,,2021-08-24T18:45Z,2021-08-24T19:05Z,27.75,28.083333333333332
sleep,2021-08-25T04:05Z,2021-08-25T04:16Z,,,,,,2021-08-24T19:05Z,2021-08-24T19:16Z,28.083333333333332,28.266666666666666
feed,2021-08-25T04:16Z,2021-08-25T04:20Z,00:04,00:04R,breast,,,2021-08-24T19:16Z,2021-08-24T19:20Z,28.266666666666666,28.333333333333332
sleep,2021-08-25T04:20Z,2021-08-25T05:58Z,,,,,,2021-08-24T19:20Z,2021-08-24T20:58Z,28.333333333333332,29.966666666666665
feed,2021-08-25T05:58Z,2021-08-25T06:05Z,00:07,00:05R,breast,00:01L,,2021-08-24T20:58Z,2021-08-24T21:05Z,29.966666666666665,30.083333333333332
sleep,2021-08-25T06:05Z,2021-08-25T06:12Z,,,,,,2021-08-24T21:05Z,2021-08-24T21:12Z,30.083333333333332,30.2
feed,2021-08-25T06:12Z,2021-08-25T06:20Z,00:08,00:06R,breast,00:02L,,2021-08-24T21:12Z,2021-08-24T21:20Z,30.2,30.333333333333332
sleep,2021-08-25T06:20Z,2021-08-25T06:35Z,,,,,,2021-08-24T21:20Z,2021-08-24T21:35Z,30.333333333333332,30.583333333333332
feed,2021-08-25T06:35Z,2021-08-25T06:50Z,00:15,00:03R,breast,00:12L,,2021-08-24T21:35Z,2021-08-24T21:50Z,30.583333333333332,30.833333333333332
sleep,2021-08-25T06:50Z,2021-08-25T08:58Z,,,,,,2021-08-24T21:50Z,2021-08-24T23:58Z,30.833333333333332,32.96666666666667
feed,2021-08-25T08:58Z,2021-08-25T09:16Z,00:17,,breast,00:17L,,2021-08-24T23:58Z,2021-08-25T00:16Z,32.96666666666667,33.266666666666666
sleep,2021-08-25T19:17Z,2021-08-25T19:30Z,,,,,,2021-08-25T10:17Z,2021-08-25T10:30Z,19.283333333333335,19.5
feed,2021-08-25T19:30Z,2021-08-25T19:56Z,00:26,00:26R,breast,,,2021-08-25T10:30Z,2021-08-25T10:56Z,19.5,19.933333333333334
sleep,2021-08-25T19:56Z,2021-08-25T21:45Z,,,,,,2021-08-25T10:56Z,2021-08-25T12:45Z,19.933333333333334,21.75
feed,2021-08-25T21:45Z,2021-08-25T22:03Z,00:18,00:03R,breast,00:14L,,2021-08-25T12:45Z,2021-08-25T13:03Z,21.75,22.05
sleep,2021-08-25T22:03Z,2021-08-25T22:24Z,,,,,,2021-08-25T13:03Z,2021-08-25T13:24Z,22.05,22.4
feed,2021-08-25T22:24Z,2021-08-25T22:48Z,00:24,00:24R,breast,,,2021-08-25T13:24Z,2021-08-25T13:48Z,22.4,22.8
sleep,2021-08-25T22:48Z,2021-08-25T23:14Z,,,,,,2021-08-25T13:48Z,2021-08-25T14:14Z,22.8,23.233333333333334
feed,2021-08-25T23:14Z,2021-08-25T23:25Z,00:10,,breast,00:10L,,2021-08-25T14:14Z,2021-08-25T14:25Z,23.233333333333334,23.416666666666668
sleep,2021-08-25T23:25Z,2021-08-25T23:49Z,,,,,,2021-08-25T14:25Z,2021-08-25T14:49Z,23.416666666666668,23.816666666666666
feed,2021-08-25T23:49Z,2021-08-26,00:11,00:11R,breast,,,2021-08-25T14:49Z,2021-08-25T15:00Z,23.816666666666666,24
sleep,2021-08-26,2021-08-26T00:37Z,,,,,,2021-08-25T15:00Z,2021-08-25T15:37Z,24,24.616666666666667
